100C,#F3ED86
101C,#F5EC62,
102C,#FAE600,
103C,#CAAD00,
104C,#AC9600,
105C,#817214,
106C,#F6E761,
107C,#FAE22F,
108C,#FEDB00,
109C,#FFD100,
110C,#DBAE00,
111C,#AF8F00,
112C,#998000,
113C,#FAE15A,
114C,#FAE051,
115C,#FBDE4A,
116C,#FFCE00,
117C,#CE9D00,
118C,#B38A00,
119C,#8A761A,
120C,#F9DF79,
1205C,#F3E2A7,
121C,#FBDB6E,
1215C,#F5DD92,
122C,#FDD44F,
1225C,#FDC745,
123C,#FFC726,
1235C,#FFB300,
124C,#EBAB00,
1245C,#C69200,
125C,#BB8900,
1255C,#AA800E,
126C,#A17C00,
1265C,#836514,
127C,#EFDF85,
128C,#F2D65E,
129C,#F1CD44,
130C,#F1AB00,
131C,#D49100,
132C,#A67A00,
133C,#715913,
134C,#F8D583,
1345C,#FBCF8D,
135C,#FEC85A,
1355C,#FDC87D,
136C,#FFBC3A,
1365C,#FFB754,
137C,#FF9F00,
1375C,#FF9A00,
138C,#E47F00,
1385C,#D67500,
139C,#B67100,
1395C,#9E6209,
140C,#7A560F,
1405C,#6C4713,
141C,#EFC868,
142C,#F1BB46,
143C,#EFAA23,
144C,#ED8000,
145C,#CF7600,
146C,#9F6000,
147C,#715821,
148C,#FBD09D,
1485C,#FFB57B,
149C,#FEC688,
1495C,#FF963B,
150C,#FFA94F,
1505C,#FF7200,
151C,#FF7300,
152C,#E76F00,
1525C,#CA4E00,
153C,#C06600,
1535C,#933F00,
154C,#995409,
1545C,#51260B,
155C,#ECD6AF,
1555C,#FFBFA0,
156C,#EFC18A,
1565C,#FFA97D,
157C,#ED9B4F,
1575C,#FF8642,
158C,#E96B10,
1585C,#FF6900,
159C,#CD5806,
1595C,#DA5C05,
160C,#A24E12,
1605C,#A24A13,
161C,#613517,
1615C,#853C10,
162C,#FDC3AA,
1625C,#FFA28B,
163C,#FF9C71,
1635C,#FF8E70,
164C,#FF7E43,
1645C,#FF6C3B,
165C,#FF5F00,
1655C,#FF5200,
166C,#E55300,
1665C,#E54800,
167C,#C2510F,
1675C,#A83C0F,
168C,#6F3014,
1685C,#863514,
